"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"10-11-2016",107.79,742.38,40.61,104.08,151.57,59.74,36.625,63.21,69.45,139.98,45.18,66.22
"11-11-2016",108.43,739.01,40.14,103.68,149.04,59.99,36.305,63.32,69.64,138.54,41.73,65.45
"14-11-2016",105.71,719.07,39.2,102.42,146.42,58.72,36.14,64.45,70.69,137.98,42.88,65.44
"15-11-2016",107.11,743.24,39.81,103.66,147.06,59.46,36.25,64.6,71.3,138.14,43.49,65.47
"16-11-2016",109.99,746.49,39.95,104.08,147.23,58.99,35.915,64.1,70.72,138.74,43.26,65.9
"17-11-2016",109.95,756.4,40.39,105.81,147.36,58.86,36.195,64.23,71.78,138,43,66.6
"18-11-2016",110.06,760.16,39.84,105.02,145.23,58.44,36.25,63.91,72.02,137.96,43.49,66.44
"21-11-2016",111.73,780,39.76,105.65,145.55,59.32,35.825,63.92,72.18,139.74,43.65,66.9
"22-11-2016",111.8,785.33,38.1,105.21,144.33,59.17,35.59,64,72.37,139.71,43.51,66.82
"23-11-2016",111.23,780.12,38.98,104.21,145.03,58.82,35.81,64.33,72.4,140.75,43.25,66.48
"24-11-2016",111.23,780.12,38.98,104.21,145.03,58.82,35.81,64.33,72.4,140.75,43.25,66.48
"25-11-2016",111.79,780.37,39.16,105.02,145.43,59.72,35.865,64.44,72.38,141.54,43.55,66.95
"28-11-2016",111.57,766.77,38.74,104.5,145.07,60.9,35.495,63.31,72.04,141.78,43.11,66.17
"29-11-2016",111.46,762.52,38.73,104.95,146,61.27,35.64,63.28,69.63,143.47,42.77,67.28
"30-11-2016",110.52,750.57,38.07,102.81,144.07,59.05,35.69,63.33,69.92,144.46,43.23,66.7
"01-12-2016",109.49,743.65,37.6,99.51,142.39,58.16,35.24,64.11,70.35,144.07,44.31,63.51
"02-12-2016",109.9,740.34,37.9,99.73,144.01,58.7,34.145,63.75,70.61,144.55,44,63.87
"05-12-2016",109.11,759.36,38.43,101.95,145.29,59.2,34.345,64.22,70.36,147.33,43.9,64.31
"06-12-2016",109.95,764.72,38.42,101.55,145.11,59.47,34.29,64.2,70.95,146.57,44.68,64.93
"07-12-2016",111.03,770.42,38.48,103.36,141.19,60.25,34.73,64.92,71.65,148.54,45.2,66.15
"08-12-2016",112.12,767.33,38.68,103.5,140.59,60.18,34.81,65.82,71.67,149.06,45.97,66.31
